work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,work_setting,company_location,company_size,job_category
2022,Senior,Full-time,Data Engineer,160000,USD,160000,US,In-person,United States,L,Data Engineering and Integration
2022,Senior,Full-time,Data Engineer,113000,USD,113000,US,In-person,United States,L,Data Engineering and Integration
2022,Senior,Full-time,Data Scientist,150000,USD,150000,US,In-person,United States,M,Advanced Data Science and Research
2022,Senior,Full-time,Data Scientist,95550,USD,95550,US,In-person,United States,M,Advanced Data Science and Research
2022,Mid-level,Full-time,Data Analyst,167000,USD,167000,US,Remote,United States,M,Core Data Analysis
2022,Mid-level,Full-time,Data Analyst,115500,USD,115500,US,Remote,United States,M,Core Data Analysis
2022,Senior,Full-time,Data Analyst,112900,USD,112900,US,Remote,United States,M,Core Data Analysis
2022,Senior,Full-time,Data Analyst,90320,USD,90320,US,Remote,United States,M,Core Data Analysis
2022,Senior,Full-time,Data Analyst,112900,USD,112900,US,Remote,United States,M,Core Data Analysis
2022,Senior,Full-time,Data Analyst,90320,USD,90320,US,Remote,United States,M,Core Data Analysis
2022,Senior,Full-time,Data Engineer,165400,USD,165400,US,Remote,United States,M,Data Engineering and Integration
2022,Senior,Full-time,Data Engineer,132320,USD,132320,US,Remote,United States,M,Data Engineering and Integration
2022,Senior,Full-time,Data Engineer,243900,USD,243900,US,Remote,United States,M,Data Engineering and Integration
2022,Senior,Full-time,Data Engineer,156600,USD,156600,US,Remote,United States,M,Data Engineering and Integration
2022,Senior,Full-time,Data Analyst,136600,USD,136600,US,Remote,United States,M,Core Data Analysis
2022,Senior,Full-time,Data Analyst,109280,USD,109280,US,Remote,United States,M,Core Data Analysis
2022,Senior,Full-time,Data Engineer,128875,USD,128875,US,Remote,United States,M,Data Engineering and Integration
2022,Senior,Full-time,Data Engineer,93700,USD,93700,US,Remote,United States,M,Data Engineering and Integration
2022,Executive,Full-time,Head of Data Science,224000,USD,224000,US,Remote,United States,M,Leadership and Executive Roles
2022,Executive,Full-time,Head of Data Science,167875,USD,167875,US,Remote,United States,M,Leadership and Executive Roles
2022,Executive,Full-time,Analytics Engineer,175000,USD,175000,US,Remote,United States,M,Analytics Engineering and Consulting
2022,Executive,Full-time,Analytics Engineer,135000,USD,135000,US,Remote,United States,M,Analytics Engineering and Consulting
2022,Senior,Full-time,Data Engineer,209100,USD,209100,US,Remote,United States,L,Data Engineering and Integration
2022,Senior,Full-time,Data Engineer,154600,USD,154600,US,Remote,United States,L,Data Engineering and Integration
2022,Senior,Full-time,Data Engineer,180000,USD,180000,US,Remote,United States,M,Data Engineering and Integration
2022,Senior,Full-time,Data Engineer,160000,USD,160000,US,Remote,United States,M,Data Engineering and Integration
2022,Senior,Full-time,Data Scientist,205300,USD,205300,US,In-person,United States,L,Advanced Data Science and Research
2022,Senior,Full-time,Data Scientist,140400,USD,140400,US,In-person,United States,L,Advanced Data Science and Research
2022,Senior,Full-time,Data Scientist,176000,USD,176000,US,Remote,United States,M,Advanced Data Science and Research
2022,Senior,Full-time,Data Scientist,144000,USD,144000,US,Remote,United States,M,Advanced Data Science and Research
2022,Senior,Full-time,Data Engineer,200100,USD,200100,US,Remote,United States,M,Data Engineering and Integration
2022,Senior,Full-time,Data Engineer,160000,USD,160000,US,Remote,United States,M,Data Engineering and Integration
2022,Senior,Full-time,Data Engineer,70500,USD,70500,US,In-person,United States,M,Data Engineering and Integration
2022,Senior,Full-time,Data Engineer,54000,USD,54000,US,In-person,United States,M,Data Engineering and Integration
2022,Senior,Full-time,Data Scientist,205300,USD,205300,US,In-person,United States,M,Advanced Data Science and Research
2022,Senior,Full-time,Data Scientist,140400,USD,140400,US,In-person,United States,M,Advanced Data Science and Research
2022,Senior,Full-time,Analytics Engineer,205300,USD,205300,US,In-person,United States,M,Analytics Engineering and Consulting
2022,Senior,Full-time,Analytics Engineer,184700,USD,184700,US,In-person,United States,M,Analytics Engineering and Consulting
2022,Senior,Full-time,Data Engineer,175100,USD,175100,US,Remote,United States,M,Data Engineering and Integration
2022,Senior,Full-time,Data Engineer,140250,USD,140250,US,Remote,United States,M,Data Engineering and Integration
2022,Senior,Full-time,Data Analyst,116150,USD,116150,US,Remote,United States,M,Core Data Analysis
2022,Senior,Full-time,Data Analyst,99050,USD,99050,US,Remote,United States,M,Core Data Analysis
2022,Senior,Full-time,Data Engineer,145000,USD,145000,US,Remote,United States,M,Data Engineering and Integration
2022,Senior,Full-time,Data Engineer,130000,USD,130000,US,Remote,United States,M,Data Engineering and Integration
2022,Senior,Full-time,Data Analyst,112900,USD,112900,US,Remote,United States,M,Core Data Analysis
2022,Senior,Full-time,Data Analyst,90320,USD,90320,US,Remote,United States,M,Core Data Analysis
2022,Mid-level,Full-time,Data Analyst,85000,USD,85000,CA,In-person,Canada,M,Core Data Analysis
2022,Mid-level,Full-time,Data Analyst,75000,USD,75000,CA,In-person,Canada,M,Core Data Analysis
2022,Senior,Full-time,Machine Learning Engineer,214000,USD,214000,US,Remote,United States,M,ML Development and Research
2022,Senior,Full-time,Machine Learning Engineer,192600,USD,192600,US,Remote,United States,M,ML Development and Research
2022,Senior,Full-time,Data Architect,266400,USD,266400,US,Remote,United States,M,"Data Architecture, Strategy, and Modeling"
2022,Senior,Full-time,Data Architect,213120,USD,213120,US,Remote,United States,M,"Data Architecture, Strategy, and Modeling"
2022,Senior,Full-time,Data Engineer,155000,USD,155000,US,Remote,United States,M,Data Engineering and Integration
2022,Senior,Full-time,Data Engineer,115000,USD,115000,US,Remote,United States,M,Data Engineering and Integration
2022,Mid-level,Full-time,Data Scientist,141300,USD,141300,US,In-person,United States,M,Advanced Data Science and Research
2022,Mid-level,Full-time,Data Scientist,102100,USD,102100,US,In-person,United States,M,Advanced Data Science and Research
2022,Senior,Full-time,Data Analyst,115934,USD,115934,US,Remote,United States,M,Core Data Analysis
2022,Senior,Full-time,Data Analyst,81666,USD,81666,US,Remote,United States,M,Core Data Analysis
2022,Mid-level,Full-time,Data Engineer,206699,USD,206699,US,In-person,United States,M,Data Engineering and Integration
2022,Mid-level,Full-time,Data Engineer,99100,USD,99100,US,In-person,United States,M,Data Engineering and Integration
2022,Senior,Full-time,Data Engineer,130000,USD,130000,US,Remote,United States,M,Data Engineering and Integration
2022,Senior,Full-time,Data Engineer,110500,USD,110500,US,Remote,United States,M,Data Engineering and Integration
2022,Mid-level,Full-time,Data Analyst,50000,GBP,61566,GB,In-person,United Kingdom,M,Core Data Analysis
2022,Mid-level,Full-time,Data Analyst,35000,GBP,43096,GB,In-person,United Kingdom,M,Core Data Analysis
2022,Senior,Full-time,Data Analyst,80000,USD,80000,US,Remote,United States,M,Core Data Analysis
2022,Senior,Full-time,Data Analyst,60000,USD,60000,US,Remote,United States,M,Core Data Analysis
2022,Senior,Full-time,Data Architect,192564,USD,192564,US,Remote,United States,M,"Data Architecture, Strategy, and Modeling"
2022,Senior,Full-time,Data Architect,144854,USD,144854,US,Remote,United States,M,"Data Architecture, Strategy, and Modeling"
2022,Senior,Full-time,Data Scientist,230000,USD,230000,US,Remote,United States,M,Advanced Data Science and Research
2022,Senior,Full-time,Data Scientist,150000,USD,150000,US,Remote,United States,M,Advanced Data Science and Research
2022,Senior,Full-time,Data Analytics Manager,150260,USD,150260,US,Remote,United States,M,Data Product and Project Management
2022,Senior,Full-time,Data Analytics Manager,109280,USD,109280,US,Remote,United States,M,Data Product and Project Management
2022,Senior,Full-time,Data Analyst,170000,USD,170000,US,Remote,United States,M,Core Data Analysis
2022,Senior,Full-time,Data Analyst,150000,USD,150000,US,Remote,United States,M,Core Data Analysis
2022,Mid-level,Full-time,Data Scientist,160000,USD,160000,US,Remote,United States,M,Advanced Data Science and Research
2022,Mid-level,Full-time,Data Scientist,130000,USD,130000,US,Remote,United States,M,Advanced Data Science and Research
2022,Entry-level,Full-time,Data Analyst,67000,USD,67000,CA,In-person,Canada,M,Core Data Analysis
2022,Entry-level,Full-time,Data Analyst,52000,USD,52000,CA,In-person,Canada,M,Core Data Analysis
2022,Senior,Full-time,Data Engineer,154000,USD,154000,US,Remote,United States,M,Data Engineering and Integration
2022,Senior,Full-time,Data Engineer,126000,USD,126000,US,Remote,United States,M,Data Engineering and Integration
2022,Senior,Full-time,Data Analyst,129000,USD,129000,US,In-person,United States,M,Core Data Analysis
2022,Senior,Full-time,Data Analyst,99000,USD,99000,US,In-person,United States,M,Core Data Analysis
2022,Senior,Full-time,Data Scientist,210000,USD,210000,US,Remote,United States,M,Advanced Data Science and Research
2022,Senior,Full-time,Data Scientist,140000,USD,140000,US,Remote,United States,M,Advanced Data Science and Research
2022,Senior,Full-time,Data Scientist,210000,USD,210000,US,Remote,United States,M,Advanced Data Science and Research
2022,Senior,Full-time,Data Scientist,140000,USD,140000,US,Remote,United States,M,Advanced Data Science and Research
2022,Senior,Full-time,Data Scientist,210000,USD,210000,US,Remote,United States,M,Advanced Data Science and Research
2022,Senior,Full-time,Data Scientist,140000,USD,140000,US,Remote,United States,M,Advanced Data Science and Research
2022,Senior,Full-time,Data Analyst,100000,USD,100000,US,Remote,United States,M,Core Data Analysis
2022,Senior,Full-time,Data Analyst,69000,USD,69000,US,Remote,United States,M,Core Data Analysis
2022,Senior,Full-time,Data Scientist,210000,USD,210000,US,Remote,United States,M,Advanced Data Science and Research
2022,Senior,Full-time,Data Scientist,140000,USD,140000,US,Remote,United States,M,Advanced Data Science and Research
2022,Senior,Full-time,Data Analyst,150075,USD,150075,US,Remote,United States,M,Core Data Analysis
2022,Senior,Full-time,Data Analyst,110925,USD,110925,US,Remote,United States,M,Core Data Analysis
2022,Senior,Full-time,Data Engineer,100000,USD,100000,US,Remote,United States,M,Data Engineering and Integration
2022,Senior,Full-time,Data Engineer,25000,USD,25000,US,Remote,United States,M,Data Engineering and Integration
2022,Senior,Full-time,Data Analyst,126500,USD,126500,US,Remote,United States,M,Core Data Analysis
2022,Senior,Full-time,Data Analyst,106260,USD,106260,US,Remote,United States,M,Core Data Analysis
2022,Senior,Full-time,Data Engineer,220110,USD,220110,US,Remote,United States,M,Data Engineering and Integration
2022,Senior,Full-time,Data Engineer,160080,USD,160080,US,Remote,United States,M,Data Engineering and Integration
2022,Senior,Full-time,Data Analyst,105000,USD,105000,US,Remote,United States,M,Core Data Analysis
2022,Senior,Full-time,Data Analyst,100000,USD,100000,US,Remote,United States,M,Core Data Analysis
2022,Senior,Full-time,Data Analyst,170000,USD,170000,US,Remote,United States,M,Core Data Analysis
2022,Senior,Full-time,Data Analyst,135000,USD,135000,US,Remote,United States,M,Core Data Analysis
2022,Senior,Full-time,Data Scientist,230000,USD,230000,US,Remote,United States,M,Advanced Data Science and Research
2022,Senior,Full-time,Data Scientist,140000,USD,140000,US,Remote,United States,M,Advanced Data Science and Research
2022,Mid-level,Full-time,Data Analyst,135000,USD,135000,US,Remote,United States,M,Core Data Analysis
2022,Mid-level,Full-time,Data Analyst,50000,USD,50000,US,Remote,United States,M,Core Data Analysis
2022,Senior,Full-time,Data Scientist,220000,USD,220000,US,Remote,United States,M,Advanced Data Science and Research
2022,Senior,Full-time,Data Scientist,140000,USD,140000,US,Remote,United States,M,Advanced Data Science and Research
2022,Mid-level,Full-time,Data Scientist,140000,GBP,172386,GB,In-person,United Kingdom,M,Advanced Data Science and Research
2022,Mid-level,Full-time,Data Scientist,70000,GBP,86193,GB,In-person,United Kingdom,M,Advanced Data Science and Research
2022,Senior,Full-time,Machine Learning Engineer,220000,USD,220000,US,Remote,United States,M,ML Development and Research
2022,Senior,Full-time,Machine Learning Engineer,120000,USD,120000,US,Remote,United States,M,ML Development and Research
2022,Mid-level,Full-time,Data Scientist,200000,USD,200000,US,Remote,United States,M,Advanced Data Science and Research
2022,Mid-level,Full-time,Data Scientist,120000,USD,120000,US,Remote,United States,M,Advanced Data Science and Research
